Date,Session,Observer,tblEvents.Area,Weather,Comments,Time,Cows,Cows edited by LH,Calves,Prime_Bulls,Raghorns,Spikes,Unk_Male,unknown elk_LH,Total adult males_LH,Total_Elk,Total_elk edited by LH,Harem,White_Bull,Red_Bull,White_Cow,Red_Cow,Behavior,Notes,Location_Code,Location_Name,tluLocations.Area,X_Coord,Y_Coord,Ranch,Pasture
08/30/2012,a,Bernot,D Ranch,,,8:00,10,Yes,,,,,,36,0,46,,1,,,,,,,nn,C ranch center ridge top trough,D Ranch,502222.5185,4210159.291,C (Spaletta),Dam Field
11/13/2012,a,Bernot,D Ranch,,,8:30,10,Yes,,,,,,37,0,47,,1,,,0,0,rf,,x,outer horick west,D Ranch,503506.5882,4209226.646,Non-permit,Non-permit
08/21/2012,a,Bernot,D Ranch,,,6:08,10,Yes,,,,,,38,0,48,,1,,,,,,"hazed to kk, then to v by 0728, 3 bulls remain uu",mmm,directlry behind C ranch compound,D Ranch,501736.5633,4210265.451,C (Spaletta),Behind The Barn
01/31/2013,a,Bernot,D Ranch,,,7:35,10,Yes,,,,,,38,0,48,,1,,,1,1,fs,,v,outer horick manure pond,D Ranch,503365.3408,4209429.69,Non-permit,Non-permit
09/03/2013,b,Bernot,D Ranch,,,11:15,10,Yes,,,,,,38,0,48,,1,,,0,0,r,,nn,C ranch center ridge top trough,D Ranch,502222.5185,4210159.291,C (Spaletta),Dam Field
05/18/2012,a,Bernot,D Ranch,,,6:40,10,Yes,,,,,,39,0,49,,1,,,,,,,w,outer horick center,D Ranch,503672.5539,4209436.752,Non-permit,Non-permit
05/24/2012,a,Bernot,D Ranch,,,6:10,10,Yes,,,,,,40,0,50,,1,,,,,t,crossed fence from kk,ii,west D across from house,D Ranch,503101.3912,4209954.221,D (Spaletta),West
07/24/2012,a,Bernot,D Ranch,,,8:00,10,Yes,,,,,,40,0,50,,1,,,,,,,nn,C ranch center ridge top trough,D Ranch,502222.5185,4210159.291,C (Spaletta),Dam Field
09/10/2012,b,Bernot,D Ranch,,,19:00,10,Yes,,,,,,40,0,50,,1,,,,,,,yy,C ranch near SFD,D Ranch,501961.2338,4210598.075,C (Spaletta),Dam Field
09/20/2012,b,Bernot,D Ranch,,,17:30,10,Yes,,,,,,40,0,50,,1,,,,,t,hazed to oo,nn,C ranch center ridge top trough,D Ranch,502222.5185,4210159.291,C (Spaletta),Dam Field
09/13/2013,a,Bernot,D Ranch,,,7:57,10,Yes,,,,,,40,0,50,,1,,,x,0,tf,1 spotted calf,s,D ranch complex,D Ranch,503292.2452,4209703.18,Non-permit,Non-permit
12/03/2013,a,Bernot,D Ranch,,,7:54,10,Yes,,,,,,40,0,50,,1,,,x,0,rf,,t,horseshoe pond pasture,D Ranch,503794.3798,4209715.716,Non-permit,Non-permit
