Total.Residence.hrs,Num.animals,Revisits,coordIdx,Avg.Residence.hrs,x,y
19.17,1,4,1564,19.2,503861.509320652,4209142.28520875
16.13,1,4,1565,16.1,503893.086554129,4209177.80506747
20.01,1,4,1566,20,503867.643167457,4209162.25959541
4.36,1,4,1567,4.4,503927.966208827,4209644.93275149
7.13,1,4,1568,7.1,504062.767639364,4210334.01579845
26.94,1,5,1569,26.9,502817.437562263,4210840.54550888
109.64,3,44,1570,36.5,502499.806787032,4210840.44198903
54.6,3,25,1571,18.2,502214.757906873,4210409.86233093
9.76,3,8,1572,3.3,501951.5026831,4210457.50485
27.97,3,11,1573,9.3,501914.632100239,4210528.5059595
148.38,3,43,1574,49.5,502033.920531808,4210717.15476862
51.77,2,21,1575,25.9,502598.027344841,4211003.57353603
173.18,3,69,1576,57.7,502567.337356707,4210941.43015468
224.15,3,71,1577,74.7,502577.872734786,4210921.4619436
302.7,3,77,1578,100.9,502536.633099513,4210923.66807447
276.65,3,60,1579,92.2,502487.489228156,4210950.28165201
137.07,3,50,1580,45.7,502536.653110929,4210859.31536519
80.2,2,30,1581,40.1,502674.502905537,4210575.31989616
215.61,3,67,1582,71.9,502614.746963885,4210851.57331659
161.62,3,42,1583,53.9,502847.147518719,4211192.27677954
0.98,1,2,1584,1,503869.488268117,4210823.22423315
2.91,1,2,1585,2.9,503642.162251264,4210980.67279316
10.54,3,14,1586,3.5,502414.649797402,4210995.75048306
68.43,3,30,1587,22.8,502005.864892867,4210625.0569026
10.31,2,9,1588,5.2,502084.856935008,4210542.97156069
47.24,3,23,1589,15.7,502149.818585877,4210432.03553549
49.42,3,23,1590,16.5,502155.083154715,4210433.14645318
80.79,3,40,1591,26.9,502510.34451995,4210812.70698845
32.58,2,20,1592,16.3,502935.802776504,4211085.79332303
37.87,3,14,1593,12.6,503066.609789312,4210890.56420574
158.36,3,58,1594,52.8,502815.552863658,4211216.67547538
119.4,3,47,1595,39.8,502519.987062307,4210842.66725709
197.54,3,61,1596,65.8,502479.596146777,4210938.0744226
267.42,3,53,1597,89.1,502493.628124362,4210960.26929348
232.12,2,51,1598,116.1,502517.31196376,4210981.35763247
135.43,3,54,1599,45.1,502800.636427085,4211218.88940032
171.61,3,55,1600,57.2,502824.329479275,4211208.91179861
138.28,3,56,1601,46.1,502812.916094059,4211229.98892773
0.4,1,1,1602,0.4,503109.32161472,4211630.63706987
40.95,3,16,1603,13.7,501951.458095325,4210643.90570109
45.65,3,20,1604,15.2,502048.868049945,4210594.00077603
132.41,3,34,1605,44.1,501977.728729118,4210862.48929701
137.29,3,32,1606,45.8,501982.112647349,4210875.80471487
33.41,1,9,1607,33.4,503406.155786885,4210935.08010798
13.59,1,5,1608,13.6,504397.096418791,4210323.09384209
0.91,1,2,1609,0.9,504041.567224256,4210618.04471503
0.38,1,1,1610,0.4,503754.961457124,4209916.6856363
67.07,2,28,1611,33.5,503011.55587473,4210283.63126835
95.43,3,36,1612,31.8,503048.410580583,4210283.64495507
41.1,1,14,1613,41.1,503369.683906648,4210015.26543954
41.39,1,15,1614,41.4,503368.805926685,4210016.3746052
12.16,1,4,1615,12.2,503348.41892481,4210513.43503261
10.7,1,4,1616,10.7,503366.835685601,4210537.85225152
15.27,1,14,1617,15.3,503937.438428629,4210019.95777018
9.36,1,6,1618,9.4,503784.873726643,4209752.4893196
12.46,2,3,1619,6.2,503843.581266021,4209940.02698834
12.43,2,3,1620,6.2,503843.580743394,4209941.13651623
12.47,2,3,1621,6.2,503846.212810082,4209942.24728459
0.76,1,1,1622,0.8,503961.359334659,4209550.63904918
67.37,2,20,1623,33.7,503919.051511515,4209934.51524581
10.13,2,8,1624,5.1,503808.612114717,4209657.08097947
97.73,1,20,1625,97.7,503708.586360278,4209621.53002643
4.3,2,4,1626,2.1,503400.646378733,4209417.24286221
44.77,1,15,1627,44.8,503152.204201886,4209637.9390604
41.25,2,13,1628,20.6,503086.415972639,4209561.35652012
10.35,3,6,1629,3.4,502250.826078572,4210078.12319722
12.94,3,5,1630,4.3,502451.816699778,4209946.14727657
0.41,1,1,1631,0.4,503218.536982714,4210555.54486322
0.94,1,2,1632,0.9,503339.39215079,4211129.22023933
0.42,1,1,1633,0.4,503891.455371305,4210757.77243656
46.24,2,20,1634,23.1,503956.761116788,4209984.46221282
54.45,2,18,1635,27.2,503902.360919362,4209971.12167624
71.5,2,26,1636,35.8,503937.46252166,4209970.02901067
67.65,2,22,1637,33.8,503934.844387319,4209940.0704869
21.17,2,16,1638,10.6,503920.824698986,4209896.79214192
8.59,1,5,1639,8.6,504543.718620097,4210176.71637872
21.4,1,7,1640,21.4,504524.411672722,4210180.03423589
64.13,1,23,1641,64.1,504472.58235723,4210283.19183405
0.78,1,2,1642,0.8,504229.833075986,4209672.82182576
11.97,2,7,1643,6,503699.141850141,4209161.07196104
9.72,1,6,1644,9.7,503720.221269275,4209124.46715888
17.07,1,4,1645,17.1,503886.957536823,4209147.8449222
16.17,1,4,1646,16.2,503886.963877486,4209134.53060382
6.94,1,2,1647,6.9,504643.897488979,4209924.90981753
6.95,1,2,1648,7,504643.020588594,4209923.79979026
61.23,1,23,1649,61.2,504476.966778937,4210288.7418829
